venue_id,visitor_id,visit_start_time,visit_end_time,venue_type
UN004,V2035,2024-10-31 06:02:00.000000,2024-10-31 07:34:40.303919,university
CO001,V1052,2024-10-31 06:07:00.000000,2024-10-31 06:49:22.661586,coffee_place
CO000,V2883,2024-10-31 06:08:00.000000,2024-10-31 06:53:34.561043,coffee_place
CO003,V1533,2024-10-31 06:12:00.000000,2024-10-31 06:49:10.042612,coffee_place
CO003,V1050,2024-10-31 06:13:00.000000,2024-10-31 06:56:17.555560,coffee_place
UN001,V2885,2024-10-31 06:14:00.000000,2024-10-31 07:34:24.860430,university
UN003,V2326,2024-10-31 06:15:00.000000,2024-10-31 06:49:52.688964,university
CO002,V0968,2024-10-31 06:21:00.000000,2024-10-31 07:16:57.973477,coffee_place
UN003,V2591,2024-10-31 06:22:00.000000,2024-10-31 08:12:20.256201,university
UN000,V2974,2024-10-31 06:23:00.000000,2024-10-31 07:21:09.998186,university
UN000,V1831,2024-10-31 06:27:00.000000,2024-10-31 08:48:57.426866,university
UN003,V2044,2024-10-31 06:28:00.000000,2024-10-31 07:38:36.021204,university
UN004,V2958,2024-10-31 06:28:00.000000,2024-10-31 07:27:18.630794,university
UN004,V0848,2024-10-31 06:28:00.000000,2024-10-31 08:36:03.129255,university
UN004,V0043,2024-10-31 06:30:00.000000,2024-10-31 07:34:05.406265,university
CO001,V0296,2024-10-31 06:31:00.000000,2024-10-31 07:03:17.163641,coffee_place
UN001,V1092,2024-10-31 06:38:00.000000,2024-10-31 09:07:53.306041,university
UN002,V1841,2024-10-31 06:39:00.000000,2024-10-31 07:13:45.060512,university
UN004,V1614,2024-10-31 06:40:00.000000,2024-10-31 09:00:40.487752,university
CO001,V2835,2024-10-31 06:40:00.000000,2024-10-31 07:13:05.640852,coffee_place
UN004,V1696,2024-10-31 06:41:00.000000,2024-10-31 08:49:42.515213,university
CO004,V1212,2024-10-31 06:41:00.000000,2024-10-31 07:22:02.703081,coffee_place
CO002,V0462,2024-10-31 06:43:00.000000,2024-10-31 07:14:18.699983,coffee_place
CO000,V0439,2024-10-31 06:43:00.000000,2024-10-31 07:49:42.974741,coffee_place
UN003,V2767,2024-10-31 06:45:00.000000,2024-10-31 09:05:36.724112,university
UN000,V2361,2024-10-31 06:45:00.000000,2024-10-31 07:31:47.395384,university
UN000,V0768,2024-10-31 06:54:00.000000,2024-10-31 08:36:15.427288,university
UN000,V1104,2024-10-31 06:59:00.000000,2024-10-31 07:41:16.345161,university
UN001,V2116,2024-10-31 07:00:00.000000,2024-10-31 08:19:37.290283,university
CO004,V0389,2024-10-31 07:01:00.000000,2024-10-31 07:55:18.236343,coffee_place
CO003,V1693,2024-10-31 07:09:00.000000,2024-10-31 08:28:53.254847,coffee_place
CO000,V0474,2024-10-31 07:09:00.000000,,coffee_place
CO004,V0365,2024-10-31 07:10:00.000000,2024-10-31 08:30:10.519139,coffee_place
UN004,V0415,2024-10-31 07:10:00.000000,2024-10-31 08:08:55.498255,university
CO004,V1683,2024-10-31 07:11:00.000000,2024-10-31 07:48:16.019861,coffee_place
CO002,V1173,2024-10-31 07:11:00.000000,2024-10-31 08:05:00.571806,coffee_place
UN001,V0602,2024-10-31 07:11:00.000000,2024-10-31 09:18:46.251757,university
CO000,V2823,2024-10-31 07:12:00.000000,2024-10-31 08:06:38.338526,coffee_place
CO000,V2122,2024-10-31 07:13:00.000000,2024-10-31 07:52:24.217967,coffee_place
UN003,V0693,2024-10-31 07:15:00.000000,2024-10-31 07:29:10.895988,university
CO001,V1581,2024-10-31 07:16:00.000000,2024-10-31 08:07:39.537529,coffee_place
UN001,V2090,2024-10-31 07:16:00.000000,2024-10-31 08:41:30.140419,university
UN002,V2873,2024-10-31 07:17:00.000000,2024-10-31 09:54:01.804772,university
UN003,V0337,2024-10-31 07:19:00.000000,2024-10-31 09:03:57.647921,university
CO002,V1090,2024-10-31 07:22:00.000000,2024-10-31 08:24:33.254699,coffee_place
UN002,V2640,2024-10-31 07:23:00.000000,2024-10-31 08:40:30.013989,university
CO004,V0417,2024-10-31 07:23:00.000000,2024-10-31 08:23:10.038526,coffee_place
UN003,V2229,2024-10-31 07:24:00.000000,2024-10-31 09:04:19.353667,university
UN004,V2123,2024-10-31 07:24:00.000000,2024-10-31 09:23:49.872274,university
CO000,V2323,2024-10-31 07:24:00.000000,2024-10-31 07:54:09.283630,coffee_place
UN003,V1040,2024-10-31 07:25:00.000000,2024-10-31 09:27:46.725090,university
CO003,V0010,2024-10-31 07:25:00.000000,2024-10-31 08:00:10.970995,coffee_place
UN000,V0047,2024-10-31 07:25:00.000000,2024-10-31 08:11:45.169176,university
CO000,V1210,2024-10-31 07:26:00.000000,2024-10-31 08:12:53.015050,coffee_place
CO001,V0058,2024-10-31 07:26:00.000000,2024-10-31 08:20:13.729914,coffee_place
CO000,V1178,2024-10-31 07:26:00.000000,2024-10-31 08:31:47.598531,coffee_place
UN001,V2808,2024-10-31 07:27:00.000000,2024-10-31 08:48:59.433898,university
UN002,V0749,2024-10-31 07:27:00.000000,2024-10-31 09:02:51.039083,university
CO002,V0016,2024-10-31 07:29:00.000000,2024-10-31 08:04:22.711674,coffee_place
CO001,V2735,2024-10-31 07:30:00.000000,2024-10-31 07:48:54.794403,coffee_place
CO000,V0360,2024-10-31 07:30:00.000000,2024-10-31 08:13:51.369377,coffee_place
CO003,V0870,2024-10-31 07:31:00.000000,2024-10-31 08:49:11.901499,coffee_place
CO001,V1139,2024-10-31 07:32:00.000000,2024-10-31 08:17:10.822213,coffee_place
CO002,V0368,2024-10-31 07:32:00.000000,2024-10-31 08:27:15.131234,coffee_place
CO003,V1196,2024-10-31 07:33:00.000000,2024-10-31 10:20:14.593220,coffee_place
CO003,V2531,2024-10-31 07:33:00.000000,2024-10-31 07:40:38.142268,coffee_place
UN000,V2949,2024-10-31 07:33:00.000000,2024-10-31 09:36:35.975611,university
UN002,V1367,2024-10-31 07:34:00.000000,2024-10-31 08:47:45.354774,university
UN000,V2142,2024-10-31 07:34:00.000000,2024-10-31 08:22:05.104499,university
UN001,V2357,2024-10-31 07:36:00.000000,2024-10-31 09:18:47.580609,university
CO004,V0467,2024-10-31 07:36:00.000000,2024-10-31 08:21:38.008294,coffee_place
UN001,V0764,2024-10-31 07:37:00.000000,2024-10-31 12:58:54.354468,university
UN000,V2821,2024-10-31 07:37:00.000000,2024-10-31 09:08:03.146546,university
CO000,V2648,2024-10-31 07:38:00.000000,2024-10-31 08:43:00.856652,coffee_place
CO004,V0928,2024-10-31 07:39:00.000000,2024-10-31 08:42:29.731564,coffee_place
UN000,V1722,2024-10-31 07:40:00.000000,2024-10-31 08:25:28.295009,university
UN003,V0189,2024-10-31 07:42:00.000000,,university
CO004,V1892,2024-10-31 07:43:00.000000,2024-10-31 08:39:48.293049,coffee_place
CO003,V0456,2024-10-31 07:46:00.000000,2024-10-31 09:09:46.845701,coffee_place
UN004,V2950,2024-10-31 07:46:00.000000,2024-10-31 09:51:51.255965,university
UN002,V1979,2024-10-31 07:47:00.000000,2024-10-31 07:52:00.000000,university
CO002,V0410,2024-10-31 07:47:00.000000,2024-10-31 08:29:10.896369,coffee_place
UN000,V2253,2024-10-31 07:49:00.000000,2024-10-31 11:48:26.523798,university
UN000,V0018,2024-10-31 07:49:00.000000,2024-10-31 08:57:44.179298,university
CO001,V0881,2024-10-31 07:50:00.000000,2024-10-31 08:58:17.776345,coffee_place
CO000,V1495,2024-10-31 07:50:00.000000,2024-10-31 08:24:35.847801,coffee_place
CO001,V0689,2024-10-31 07:50:00.000000,2024-10-31 08:45:54.047666,coffee_place
CO000,V1472,2024-10-31 07:51:00.000000,2024-10-31 08:27:04.758707,coffee_place
UN003,V2628,2024-10-31 07:52:00.000000,2024-10-31 08:37:16.160850,university
CO001,V2173,2024-10-31 07:54:00.000000,2024-10-31 08:33:51.197716,coffee_place
CO003,V0939,2024-10-31 07:55:00.000000,2024-10-31 08:08:55.004997,coffee_place
CO004,V2086,2024-10-31 07:55:00.000000,2024-10-31 08:42:04.868938,coffee_place
CO000,V2187,2024-10-31 07:56:00.000000,2024-10-31 08:41:21.572192,coffee_place
CO002,V1902,2024-10-31 07:57:00.000000,2024-10-31 08:28:18.479955,coffee_place
CO004,V2122,2024-10-31 07:58:00.000000,2024-10-31 08:34:11.979255,coffee_place
UN000,V2238,2024-10-31 08:00:00.000000,2024-10-31 09:27:15.509155,university
CO001,V2363,2024-10-31 08:00:00.000000,2024-10-31 08:32:37.281154,coffee_place
CO003,V2352,2024-10-31 08:00:00.000000,2024-10-31 08:52:53.334255,coffee_place
UN002,V0008,2024-10-31 08:00:00.000000,2024-10-31 09:56:31.124423,university
UN002,V0110,2024-10-31 12:18:24.816317,2024-10-31 08:01:00.000000,university
UN001,V1612,2024-10-31 08:01:00.000000,2024-10-31 09:03:15.364535,university
UN004,V1624,2024-10-31 08:02:00.000000,2024-10-31 09:30:26.894440,university
UN000,V1081,2024-10-31 08:02:00.000000,2024-10-31 09:01:49.574335,university
UN002,V2634,2024-10-31 08:02:00.000000,2024-10-31 09:55:44.020900,university
UN002,V1116,2024-10-31 08:02:00.000000,2024-10-31 08:56:09.793490,university
UN004,V2124,2024-10-31 08:03:00.000000,2024-10-31 08:53:49.913687,university
UN004,V2744,2024-10-31 08:03:00.000000,2024-10-31 10:16:29.669895,university
UN000,V1952,2024-10-31 08:04:00.000000,2024-10-31 10:24:04.503295,university
UN004,V2362,2024-10-31 08:05:00.000000,2024-10-31 12:43:47.307220,university
