venue_id,visitor_id,visit_start_time,visit_end_time,venue_type
CO002,V0143,2024-11-10 06:08:00.000000,2024-11-10 06:29:05.182835,coffee_place
UN002,V0993,2024-11-10 06:15:00.000000,2024-11-10 08:41:21.564930,university
UN003,V1178,2024-11-10 06:19:00.000000,2024-11-10 07:03:28.566695,university
UN001,V1759,2024-11-10 06:29:00.000000,2024-11-10 06:45:36.617385,university
CO001,V2450,2024-11-10 06:41:00.000000,2024-11-10 06:55:36.770999,coffee_place
UN000,V2677,2024-11-10 06:43:00.000000,2024-11-10 07:29:32.253026,university
CO004,V2457,2024-11-10 07:02:00.000000,,coffee_place
CO004,V0171,2024-11-10 07:06:00.000000,2024-11-10 07:49:19.876621,coffee_place
CO000,V2853,2024-11-10 07:09:00.000000,2024-11-10 08:00:03.117890,coffee_place
CO002,V2753,2024-11-10 07:11:00.000000,2024-11-10 07:34:56.185270,coffee_place
CO001,V2149,2024-11-10 07:14:00.000000,2024-11-10 08:01:44.828958,coffee_place
CO001,V0033,2024-11-10 07:18:00.000000,2024-11-10 08:11:20.854162,coffee_place
CO002,V2002,2024-11-10 07:19:00.000000,2024-11-10 07:51:07.557010,coffee_place
CO003,V1517,2024-11-10 07:21:00.000000,2024-11-10 08:03:44.983420,coffee_place
CO003,V0655,2024-11-10 07:21:00.000000,2024-11-10 07:51:26.432846,coffee_place
CO002,V0574,2024-11-10 07:27:00.000000,2024-11-10 08:02:47.961307,coffee_place
CO001,V1964,2024-11-10 07:27:00.000000,2024-11-10 07:35:17.614659,coffee_place
CO000,V0478,2024-11-10 07:27:00.000000,2024-11-10 08:25:53.245437,coffee_place
CO001,V0417,2024-11-10 07:30:00.000000,2024-11-10 08:04:13.978623,coffee_place
CO002,V0551,2024-11-10 07:30:00.000000,2024-11-10 08:16:59.773150,coffee_place
CO000,V2936,2024-11-10 07:32:00.000000,2024-11-10 08:08:27.805741,coffee_place
CO002,V0378,2024-11-10 07:32:00.000000,2024-11-10 09:37:12.002450,coffee_place
UN000,V2227,2024-11-10 07:34:00.000000,2024-11-10 07:39:00.000000,university
CO001,V0094,2024-11-10 07:36:00.000000,2024-11-10 08:23:05.818820,coffee_place
CO001,V1310,2024-11-10 07:38:00.000000,2024-11-10 08:16:48.650630,coffee_place
CO002,V0974,2024-11-10 07:39:00.000000,2024-11-10 08:33:36.606175,coffee_place
CO003,V2936,2024-11-10 07:41:00.000000,2024-11-10 08:35:57.296809,coffee_place
CO002,V2295,2024-11-10 07:41:00.000000,2024-11-10 08:40:06.080817,coffee_place
CO003,V1980,2024-11-10 07:42:00.000000,2024-11-10 08:20:32.032503,coffee_place
CO004,V0019,2024-11-10 07:43:00.000000,2024-11-10 10:23:00.511484,coffee_place
CO000,V1902,2024-11-10 07:44:00.000000,2024-11-10 08:36:27.892054,coffee_place
CO002,V0977,2024-11-10 07:45:00.000000,2024-11-10 08:23:26.850318,coffee_place
CO003,V2278,2024-11-10 07:48:00.000000,2024-11-10 08:29:53.669447,coffee_place
CO003,V0209,2024-11-10 07:55:00.000000,2024-11-10 08:53:12.106129,coffee_place
CO003,V1980,2024-11-10 07:57:00.000000,2024-11-10 08:44:51.764721,coffee_place
CI001,V2283,2024-11-10 07:57:00.000000,2024-11-10 11:03:41.661869,cinema
CO000,V2472,2024-11-10 08:00:00.000000,2024-11-10 08:37:23.046199,coffee_place
UN003,V2677,2024-11-10 08:01:00.000000,2024-11-10 08:47:52.403245,university
UN004,V1937,2024-11-10 08:02:00.000000,2024-11-10 09:44:14.441487,university
CO000,V2466,2024-11-10 08:03:00.000000,2024-11-10 08:59:43.093712,coffee_place
CO001,V2051,2024-11-10 08:04:00.000000,2024-11-10 08:54:27.541215,coffee_place
CO004,V2308,2024-11-10 08:04:00.000000,2024-11-10 09:08:34.291084,coffee_place
CI004,V2047,2024-11-10 08:06:00.000000,2024-11-10 10:29:20.396434,cinema
CO004,V0922,2024-11-10 08:07:00.000000,2024-11-10 08:50:12.429231,coffee_place
CO002,V2660,2024-11-10 08:09:00.000000,2024-11-10 09:02:02.532177,coffee_place
CO001,V0599,2024-11-10 08:10:00.000000,2024-11-10 08:46:59.311481,coffee_place
CO001,V0830,2024-11-10 08:10:00.000000,2024-11-10 08:37:52.649587,coffee_place
UN001,V1472,2024-11-10 08:11:00.000000,2024-11-10 08:16:00.000000,university
CO000,V0974,2024-11-10 08:12:00.000000,2024-11-10 08:28:53.631586,coffee_place
CI003,V1003,2024-11-10 08:12:00.000000,2024-11-10 10:41:50.952550,cinema
UN003,V1632,2024-11-10 08:12:00.000000,2024-11-10 08:53:07.859961,university
CO004,V1967,2024-11-10 08:13:00.000000,2024-11-10 09:16:31.540581,coffee_place
UN004,V1365,2024-11-10 10:10:55.976215,2024-11-10 08:14:00.000000,university
CO004,V0718,2024-11-10 08:15:00.000000,2024-11-10 08:49:51.693564,coffee_place
CO004,V1967,2024-11-10 08:16:00.000000,2024-11-10 09:02:55.277370,coffee_place
CO002,V0151,2024-11-10 08:17:00.000000,2024-11-10 08:47:32.560353,coffee_place
CO000,V1136,2024-11-10 08:17:00.000000,2024-11-10 09:07:30.043484,coffee_place
CO002,V1562,2024-11-10 08:18:00.000000,2024-11-10 09:00:09.582804,coffee_place
CO000,V1582,2024-11-10 08:19:00.000000,2024-11-10 09:08:21.291641,coffee_place
CO000,V1766,2024-11-10 08:19:00.000000,2024-11-10 09:09:12.605074,coffee_place
CO001,V2427,2024-11-10 08:21:00.000000,2024-11-10 09:48:56.206607,coffee_place
CO000,V2657,2024-11-10 08:22:00.000000,2024-11-10 09:18:11.620284,coffee_place
CI001,V1569,2024-11-10 08:25:00.000000,2024-11-10 10:50:48.565942,cinema
CO003,V1303,2024-11-10 08:27:00.000000,2024-11-10 09:02:26.483304,coffee_place
CO000,V0741,2024-11-10 08:28:00.000000,2024-11-10 09:44:17.750063,coffee_place
UN000,V2266,2024-11-10 08:29:00.000000,2024-11-10 10:55:54.411991,university
CO000,V0718,2024-11-10 08:31:00.000000,2024-11-10 09:15:04.986847,coffee_place
CO004,V0019,2024-11-10 08:39:00.000000,2024-11-10 09:41:03.113365,coffee_place
CO003,V0855,2024-11-10 08:42:00.000000,2024-11-10 09:36:42.300782,coffee_place
UN004,V1132,2024-11-10 08:45:00.000000,2024-11-10 11:21:49.519762,university
UN003,V1022,2024-11-10 08:49:00.000000,2024-11-10 10:06:31.407828,university
UN001,V0010,2024-11-10 08:50:00.000000,2024-11-10 08:55:00.000000,university
CO004,V0324,2024-11-10 08:51:00.000000,2024-11-10 09:40:41.949318,coffee_place
UN003,V1742,2024-11-10 08:56:00.000000,2024-11-10 09:36:46.993225,university
UN002,V2655,2024-11-10 08:59:00.000000,2024-11-10 10:39:23.755965,university
CO000,V0992,2024-11-10 08:59:00.000000,2024-11-10 09:04:00.000000,coffee_place
CI001,V1218,2024-11-10 09:00:00.000000,2024-11-10 11:25:01.234610,cinema
UN000,V2933,2024-11-10 09:00:00.000000,2024-11-10 11:06:12.889609,university
CO002,V2382,2024-11-10 09:01:00.000000,2024-11-10 09:30:54.895922,coffee_place
CO003,V0854,2024-11-10 09:01:00.000000,2024-11-10 09:41:20.423027,coffee_place
UN000,V1671,2024-11-10 09:02:00.000000,2024-11-10 11:21:42.437477,university
CO000,V1964,2024-11-10 09:06:00.000000,2024-11-10 09:34:45.353406,coffee_place
UN002,V0117,2024-11-10 09:06:00.000000,2024-11-10 10:36:47.895209,university
UN003,V1262,2024-11-10 09:07:00.000000,2024-11-10 10:08:44.181404,university
CO001,V0317,2024-11-10 09:08:00.000000,2024-11-10 09:50:35.756731,coffee_place
CO003,V0243,2024-11-10 09:08:00.000000,2024-11-10 10:16:41.412138,coffee_place
CO003,V1137,2024-11-10 09:10:00.000000,2024-11-10 10:43:20.353166,coffee_place
CO003,V2660,2024-11-10 09:10:00.000000,2024-11-10 09:39:14.061939,coffee_place
CO001,V0494,2024-11-10 09:11:00.000000,2024-11-10 09:43:53.188876,coffee_place
CO004,V1002,2024-11-10 09:15:00.000000,2024-11-10 09:35:56.421891,coffee_place
UN004,V0010,2024-11-10 09:15:00.000000,2024-11-10 10:56:38.441821,university
UN001,V1411,2024-11-10 09:16:00.000000,2024-11-10 11:31:35.374004,university
CO000,V0866,2024-11-10 09:16:00.000000,2024-11-10 09:58:43.867865,coffee_place
UN001,V1981,2024-11-10 09:17:00.000000,2024-11-10 10:07:03.883326,university
CO002,V2930,2024-11-10 09:18:00.000000,2024-11-10 09:44:04.200120,coffee_place
CO002,V1459,2024-11-10 09:20:00.000000,2024-11-10 10:04:17.565532,coffee_place
CO003,V2620,2024-11-10 09:21:00.000000,2024-11-10 09:49:58.464176,coffee_place
CO001,V2498,2024-11-10 09:22:00.000000,2024-11-10 09:43:35.472303,coffee_place
CO003,V0650,2024-11-10 09:22:00.000000,2024-11-10 10:05:55.124299,coffee_place
UN003,V2246,2024-11-10 09:23:00.000000,2024-11-10 11:59:37.674558,university
UN002,V1092,2024-11-10 09:23:00.000000,2024-11-10 11:50:56.750098,university
UN002,V2958,2024-11-10 09:24:00.000000,2024-11-10 12:06:11.797543,university
UN001,V1151,2024-11-10 09:24:00.000000,2024-11-10 09:39:18.674180,university
UN002,V1937,2024-11-10 09:29:00.000000,2024-11-10 11:12:30.063913,university
UN001,V0834,2024-11-10 09:31:00.000000,2024-11-10 11:01:14.588193,university
CO001,V1459,2024-11-10 09:31:00.000000,2024-11-10 09:36:50.951072,coffee_place
CO002,V2086,2024-11-10 09:32:00.000000,2024-11-10 10:00:46.872188,coffee_place
UN001,V2489,2024-11-10 09:37:00.000000,2024-11-10 11:00:55.287745,university
CO000,V1403,2024-11-10 09:38:00.000000,2024-11-10 10:35:19.888016,coffee_place
UN000,V2958,2024-11-10 09:40:00.000000,2024-11-10 11:40:59.315249,university
CO003,V2746,2024-11-10 09:40:00.000000,2024-11-10 10:41:20.990359,coffee_place
UN003,V2227,2024-11-10 09:41:00.000000,2024-11-10 14:50:04.390543,university
UN004,V1652,2024-11-10 09:41:00.000000,2024-11-10 10:44:23.400161,university
UN004,V2994,2024-11-10 09:42:00.000000,2024-11-10 10:29:03.274472,university
CO003,V0462,2024-11-10 09:42:00.000000,2024-11-10 10:26:32.544000,coffee_place
CO004,V0650,2024-11-10 09:42:00.000000,2024-11-10 10:22:40.249400,coffee_place
UN002,V1400,2024-11-10 09:44:00.000000,2024-11-10 10:22:57.454487,university
UN004,V2086,2024-11-10 09:45:00.000000,2024-11-10 10:38:40.025097,university
UN001,V1053,2024-11-10 09:47:00.000000,2024-11-10 11:08:55.740282,university
CO000,V2466,2024-11-10 09:48:00.000000,2024-11-10 10:28:55.587213,coffee_place
UN004,V1032,2024-11-10 09:49:00.000000,2024-11-10 10:58:12.402967,university
CO001,V0568,2024-11-10 09:50:00.000000,2024-11-10 10:45:54.960911,coffee_place
CO002,V0205,2024-11-10 09:50:00.000000,2024-11-10 10:47:15.238094,coffee_place
UN003,V1034,2024-11-10 09:52:00.000000,2024-11-10 12:26:29.764171,university
CO000,V0263,2024-11-10 09:52:00.000000,2024-11-10 10:42:50.047828,coffee_place
CO002,V0365,2024-11-10 09:52:00.000000,2024-11-10 10:26:11.941955,coffee_place
UN000,V2365,2024-11-10 09:53:00.000000,2024-11-10 11:30:00.758465,university
CO000,V0263,2024-11-10 09:54:00.000000,,coffee_place
UN001,V1251,2024-11-10 09:54:00.000000,2024-11-10 11:14:18.057899,university
UN002,V0117,2024-11-10 09:56:00.000000,2024-11-10 11:40:14.265480,university
CO003,V0892,2024-11-10 09:56:00.000000,2024-11-10 10:20:36.634158,coffee_place
CO004,V1692,2024-11-10 09:59:00.000000,2024-11-10 11:33:49.622618,coffee_place
CO000,V2308,2024-11-10 10:03:00.000000,2024-11-10 10:56:02.657826,coffee_place
UN004,V2933,2024-11-10 10:04:00.000000,2024-11-10 13:00:39.726955,university
CO003,V2666,2024-11-10 10:06:00.000000,2024-11-10 10:41:57.163528,coffee_place
CO001,V2382,2024-11-10 10:08:00.000000,2024-11-10 11:00:07.411258,coffee_place
UN003,V2626,2024-11-10 10:09:00.000000,2024-11-10 10:46:24.563257,university
CO003,V0291,2024-11-10 10:09:00.000000,,coffee_place
CO003,V1002,2024-11-10 10:12:00.000000,2024-11-10 10:35:09.417372,coffee_place
CO004,V0525,2024-11-10 10:15:00.000000,2024-11-10 11:19:28.749018,coffee_place
UN004,V0068,2024-11-10 10:15:00.000000,2024-11-10 12:06:00.548949,university
CO004,V2086,2024-11-10 10:18:00.000000,2024-11-10 11:14:16.134923,coffee_place
UN000,V0256,2024-11-10 10:19:00.000000,2024-11-10 11:49:56.587478,university
CO001,V0921,2024-11-10 10:21:00.000000,2024-11-10 11:10:34.028744,coffee_place
CO004,V2498,2024-11-10 10:22:00.000000,2024-11-10 11:00:28.489546,coffee_place
CO003,V0068,2024-11-10 10:23:00.000000,2024-11-10 10:57:43.434137,coffee_place
CO001,V1403,2024-11-10 10:25:00.000000,2024-11-10 10:59:04.066497,coffee_place
CO004,V0977,2024-11-10 10:25:00.000000,2024-11-10 11:22:31.825479,coffee_place
CO001,V2603,2024-11-10 10:25:00.000000,2024-11-10 12:51:19.902183,coffee_place
CO002,V2388,2024-11-10 10:26:00.000000,2024-11-10 11:06:47.018341,coffee_place
