venue_id,visitor_id,visit_start_time,visit_end_time,venue_type
UN004,V2940,2024-10-28 06:00:00.000000,2024-10-28 08:23:29.648705,university
UN003,V1337,2024-10-28 06:01:00.000000,2024-10-28 07:31:23.598391,university
UN000,V1933,2024-10-28 06:02:00.000000,2024-10-28 10:18:23.804368,university
UN003,V1543,2024-10-28 06:08:00.000000,2024-10-28 07:19:24.080107,university
UN002,V1389,2024-10-28 06:08:00.000000,2024-10-28 08:08:23.312124,university
UN000,V1965,2024-10-28 06:09:00.000000,2024-10-28 07:55:14.288751,university
UN002,V2820,2024-10-28 06:13:00.000000,2024-10-28 07:26:19.494862,university
UN001,V0542,2024-10-28 06:17:00.000000,2024-10-28 08:19:56.663899,university
UN002,V2315,2024-10-28 06:17:00.000000,2024-10-28 07:21:43.133360,university
UN003,V2698,2024-10-28 06:19:00.000000,2024-10-28 07:06:04.044354,university
UN004,V2375,2024-10-28 06:19:00.000000,2024-10-28 07:27:48.839585,university
CO000,V0602,2024-10-28 06:23:00.000000,,coffee_place
CO002,V0317,2024-10-28 06:25:00.000000,2024-10-28 07:02:37.781260,coffee_place
UN001,V1593,2024-10-28 06:25:00.000000,2024-10-28 07:41:01.377472,university
UN002,V1283,2024-10-28 06:25:00.000000,2024-10-28 07:43:11.656992,university
UN000,V1802,2024-10-28 06:27:00.000000,2024-10-28 10:03:57.533417,university
CO002,V0615,2024-10-28 06:32:00.000000,2024-10-28 07:45:48.080478,coffee_place
UN002,V1303,2024-10-28 06:37:00.000000,2024-10-28 09:05:14.061354,university
UN002,V1078,2024-10-28 06:38:00.000000,2024-10-28 07:51:12.806792,university
UN002,V0716,2024-10-28 06:38:00.000000,2024-10-28 13:04:10.027715,university
CO003,V0197,2024-10-28 06:39:00.000000,2024-10-28 07:18:27.803718,coffee_place
UN000,V1104,2024-10-28 06:39:00.000000,2024-10-28 08:49:15.608592,university
UN003,V2317,2024-10-28 06:39:00.000000,2024-10-28 10:04:59.376019,university
UN003,V2524,2024-10-28 06:39:00.000000,2024-10-28 06:58:03.696339,university
UN002,V0324,2024-10-28 06:40:00.000000,2024-10-28 09:50:11.674165,university
UN002,V0218,2024-10-28 06:41:00.000000,2024-10-28 08:14:39.521986,university
CO003,V0674,2024-10-28 06:42:00.000000,2024-10-28 07:36:43.597554,coffee_place
UN000,V1969,2024-10-28 06:43:00.000000,2024-10-28 09:03:22.486492,university
UN004,V2286,2024-10-28 06:45:00.000000,2024-10-28 08:54:21.909392,university
UN002,V1685,2024-10-28 06:45:00.000000,2024-10-28 07:23:02.615059,university
UN003,V0126,2024-10-28 06:46:00.000000,2024-10-28 11:22:13.310915,university
UN001,V0446,2024-10-28 06:46:00.000000,2024-10-28 08:29:13.145963,university
CO001,V1707,2024-10-28 06:46:00.000000,2024-10-28 07:25:21.001505,coffee_place
UN002,V1716,2024-10-28 06:53:00.000000,,university
UN002,V2300,2024-10-28 06:56:00.000000,2024-10-28 08:04:57.066764,university
UN000,V2394,2024-10-28 06:57:00.000000,2024-10-28 12:02:18.020866,university
UN003,V1758,2024-10-28 06:59:00.000000,2024-10-28 08:06:39.834498,university
CO003,V2228,2024-10-28 07:00:00.000000,2024-10-28 07:44:43.968787,coffee_place
CO002,V0430,2024-10-28 07:00:00.000000,2024-10-28 07:49:38.369858,coffee_place
UN000,V1238,2024-10-28 07:00:00.000000,2024-10-28 07:18:25.622729,university
CO003,V2316,2024-10-28 07:00:00.000000,2024-10-28 07:56:48.098776,coffee_place
CO001,V0880,2024-10-28 07:01:00.000000,2024-10-28 07:56:04.775900,coffee_place
UN003,V1805,2024-10-28 07:01:00.000000,2024-10-28 07:26:19.630058,university
UN003,V1696,2024-10-28 07:02:00.000000,2024-10-28 08:38:19.699743,university
CO004,V1530,2024-10-28 07:03:00.000000,2024-10-28 07:53:27.923251,coffee_place
UN004,V2527,2024-10-28 07:03:00.000000,2024-10-28 08:03:58.385414,university
CO001,V1156,2024-10-28 07:06:00.000000,2024-10-28 07:38:32.976642,coffee_place
UN004,V2330,2024-10-28 07:08:00.000000,2024-10-28 08:14:21.999904,university
CO002,V0822,2024-10-28 07:08:00.000000,2024-10-28 07:55:59.873669,coffee_place
UN001,V1833,2024-10-28 07:08:00.000000,2024-10-28 08:52:05.491499,university
UN001,V1576,2024-10-28 07:11:00.000000,2024-10-28 08:20:33.934359,university
UN004,V2220,2024-10-28 07:14:00.000000,2024-10-28 08:44:02.924071,university
CO000,V0218,2024-10-28 07:17:00.000000,2024-10-28 07:52:13.161827,coffee_place
CO002,V1858,2024-10-28 07:18:00.000000,2024-10-28 09:54:36.438948,coffee_place
CO002,V1145,2024-10-28 07:18:00.000000,2024-10-28 07:48:48.039147,coffee_place
