venue_id,visitor_id,visit_start_time,visit_end_time,venue_type
CO001,V1947,2024-11-03 06:00:00.000000,2024-11-03 06:33:03.507224,coffee_place
UN003,V0135,2024-11-03 06:00:00.000000,2024-11-03 08:32:30.767877,university
CO003,V2480,2024-11-03 06:01:00.000000,2024-11-03 06:36:06.412400,coffee_place
CO000,V0823,2024-11-03 06:02:00.000000,2024-11-03 06:55:25.372600,coffee_place
UN001,V2245,2024-11-03 06:09:00.000000,2024-11-03 07:15:29.844857,university
UN003,V0481,2024-11-03 06:58:59.720080,2024-11-03 06:15:00.000000,university
CO002,V2546,2024-11-03 06:27:00.000000,2024-11-03 07:16:47.295997,coffee_place
CO000,V0157,2024-11-03 06:41:00.000000,,coffee_place
UN004,V1772,2024-11-03 06:54:00.000000,2024-11-03 08:25:54.549732,university
CO002,V1817,2024-11-03 07:00:00.000000,2024-11-03 07:57:52.322063,coffee_place
CO001,V2890,2024-11-03 07:03:00.000000,2024-11-03 07:44:24.704329,coffee_place
CO001,V0333,2024-11-03 07:04:00.000000,2024-11-03 07:48:27.137659,coffee_place
CO000,V0168,2024-11-03 07:04:00.000000,2024-11-03 07:32:16.766508,coffee_place
CO003,V2971,2024-11-03 07:10:00.000000,2024-11-03 07:34:54.134363,coffee_place
CO002,V2280,2024-11-03 07:13:00.000000,2024-11-03 08:12:40.913840,coffee_place
CO002,V1517,2024-11-03 07:14:00.000000,2024-11-03 08:24:13.321968,coffee_place
CO002,V2314,2024-11-03 07:16:00.000000,2024-11-03 07:55:31.371885,coffee_place
CO003,V1039,2024-11-03 07:17:00.000000,2024-11-03 08:13:25.398178,coffee_place
CO003,V2242,2024-11-03 07:18:00.000000,2024-11-03 08:19:35.581980,coffee_place
UN001,V1149,2024-11-03 07:19:00.000000,2024-11-03 08:23:23.266145,university
CI001,V1305,2024-11-03 07:19:00.000000,2024-11-03 10:06:22.471230,cinema
CO001,V1692,2024-11-03 07:23:00.000000,2024-11-03 07:59:40.514097,coffee_place
CO001,V2021,2024-11-03 07:24:00.000000,2024-11-03 08:32:31.012788,coffee_place
CO003,V2971,2024-11-03 07:27:00.000000,2024-11-03 07:48:12.148709,coffee_place
CO003,V0914,2024-11-03 07:29:00.000000,2024-11-03 08:16:14.927090,coffee_place
CO004,V1724,2024-11-03 07:32:00.000000,2024-11-03 08:13:42.523654,coffee_place
CO004,V2546,2024-11-03 07:33:00.000000,2024-11-03 08:23:56.873063,coffee_place
CO004,V1555,2024-11-03 07:35:00.000000,2024-11-03 08:50:38.289086,coffee_place
CI002,V0405,2024-11-03 07:37:00.000000,2024-11-03 09:33:36.434408,cinema
CO002,V2657,2024-11-03 07:40:00.000000,2024-11-03 08:45:45.039758,coffee_place
CO000,V0830,2024-11-03 07:41:00.000000,2024-11-03 10:26:52.947017,coffee_place
CO001,V2111,2024-11-03 07:41:00.000000,2024-11-03 08:36:31.864261,coffee_place
CO000,V1380,2024-11-03 07:42:00.000000,2024-11-03 08:20:47.508260,coffee_place
CO000,V1702,2024-11-03 07:48:00.000000,2024-11-03 08:32:03.271899,coffee_place
CO004,V2031,2024-11-03 07:49:00.000000,2024-11-03 08:13:10.240078,coffee_place
CO000,V2999,2024-11-03 07:50:00.000000,2024-11-03 08:56:19.680309,coffee_place
CO004,V1736,2024-11-03 07:53:00.000000,2024-11-03 08:38:56.010186,coffee_place
CO004,V2806,2024-11-03 07:56:00.000000,2024-11-03 08:48:01.168964,coffee_place
CO003,V2174,2024-11-03 07:57:00.000000,2024-11-03 08:34:24.122912,coffee_place
CI001,V2669,2024-11-03 08:00:00.000000,2024-11-03 10:05:24.917977,cinema
CO002,V0909,2024-11-03 08:02:00.000000,2024-11-03 08:19:27.081987,coffee_place
CO004,V1133,2024-11-03 08:02:00.000000,2024-11-03 08:59:05.670501,coffee_place
UN000,V2336,2024-11-03 08:03:00.000000,2024-11-03 09:39:42.776900,university
CO001,V0800,2024-11-03 08:04:00.000000,2024-11-03 08:40:10.499872,coffee_place
CO003,V2349,2024-11-03 08:04:00.000000,2024-11-03 09:03:11.188864,coffee_place
UN002,V2245,2024-11-03 08:05:00.000000,2024-11-03 09:04:44.975960,university
UN001,V2441,2024-11-03 08:11:00.000000,2024-11-03 09:32:25.133447,university
UN003,V0429,2024-11-03 08:12:00.000000,2024-11-03 09:20:44.789624,university
CO003,V2314,2024-11-03 08:12:00.000000,2024-11-03 09:59:39.205300,coffee_place
UN003,V0463,2024-11-03 08:14:00.000000,2024-11-03 09:19:49.685430,university
UN002,V1914,2024-11-03 08:17:00.000000,,university
UN000,V1597,2024-11-03 08:17:00.000000,2024-11-03 09:36:51.497951,university
CO000,V0670,2024-11-03 08:17:00.000000,2024-11-03 09:28:28.804392,coffee_place
CO002,V2999,2024-11-03 08:18:00.000000,2024-11-03 09:09:24.533126,coffee_place
CO001,V2958,2024-11-03 08:19:00.000000,2024-11-03 08:46:45.655538,coffee_place
CO003,V0555,2024-11-03 08:20:00.000000,2024-11-03 09:02:32.047045,coffee_place
UN004,V0599,2024-11-03 08:21:00.000000,2024-11-03 09:41:32.546670,university
CO003,V1225,2024-11-03 08:22:00.000000,2024-11-03 08:53:39.128210,coffee_place
